root	count_clean_text	count_raw_fb2
солитон	594	599
нервн	50	51
квант	75	
джозефсон	41	
жив	68	
мембран	8	
биолог	3	
организм	3	
клетк	2	
мигр	2	
Давыдов	1	
ДНК	0	0
голограмм	0	0
генетич	0	0
белок	0	0
белк	0	0
нуклеин	0	0
хромосом	0	0
наследств	0	0
биопол	0	0
торсион	0	0
психич	0	0
аксон	0	
