chapter_id	num	title	words
front_matter		Титул и предисловие	1060
ch1	1	De l'objectivité des effluves perçus sous forme de lumière dans l'état hypnotique	12114
ch2	2	L'extériorisation de la sensibilité	7748
ch3	3	L'envoûtement	12920
ch4	4	La poudre de sympathie	8989
ch5	5	La guérison magnétique des plaies par la transplantation	7332
ch6	6	Les théories de Maxwell	3862
notes		Notes	10796
appendice		Appendice	14544
toc		Table des matières	270
